week_start,team,deployments,success_rate_pct,lead_time_hours,on_time_delivery_pct
2024-01-01,Grid Analytics,11,87.6,36.0,99.6
2024-01-01,Customer Experience,2,85.3,8.6,77.9
2024-01-01,Field Operations Tools,1,98.8,68.5,81.9
2024-01-01,Data Platform,5,94.4,38.1,82.5
2024-01-01,Core Billing,12,91.0,47.6,86.1
2024-01-08,Grid Analytics,3,89.2,25.1,85.3
2024-01-08,Customer Experience,4,99.6,14.6,79.8
2024-01-08,Field Operations Tools,10,94.5,60.7,90.4
2024-01-08,Data Platform,2,89.7,33.7,98.6
2024-01-08,Core Billing,4,85.9,9.9,83.0
2024-01-15,Grid Analytics,8,94.2,7.7,90.0
2024-01-15,Customer Experience,11,96.1,12.1,91.2
2024-01-15,Field Operations Tools,12,85.2,37.8,80.4
2024-01-15,Data Platform,9,96.7,53.0,75.0
2024-01-15,Core Billing,3,96.2,63.4,92.0
2024-01-22,Grid Analytics,2,96.6,6.0,94.2
2024-01-22,Customer Experience,5,92.9,21.9,99.3
2024-01-22,Field Operations Tools,11,86.2,35.0,80.8
2024-01-22,Data Platform,8,97.9,15.3,74.7
2024-01-22,Core Billing,2,98.4,49.8,73.5
2024-01-29,Grid Analytics,12,92.6,7.0,95.9
2024-01-29,Customer Experience,4,85.7,28.8,97.6
2024-01-29,Field Operations Tools,3,99.0,62.3,86.6
2024-01-29,Data Platform,12,96.1,32.5,79.7
2024-01-29,Core Billing,7,98.7,25.8,94.8
2024-02-05,Grid Analytics,10,90.6,38.1,97.1
2024-02-05,Customer Experience,3,88.3,39.1,71.4
2024-02-05,Field Operations Tools,7,86.0,35.6,78.5
2024-02-05,Data Platform,5,89.9,41.6,70.2
2024-02-05,Core Billing,4,89.4,57.3,92.2
2024-02-12,Grid Analytics,4,92.0,44.2,84.8
2024-02-12,Customer Experience,4,96.0,41.2,93.9
2024-02-12,Field Operations Tools,3,85.1,31.9,77.0
2024-02-12,Data Platform,6,94.5,51.2,70.3
2024-02-12,Core Billing,6,85.0,48.7,95.5
2024-02-19,Grid Analytics,12,89.6,18.0,99.5
2024-02-19,Customer Experience,7,92.4,8.1,99.9
2024-02-19,Field Operations Tools,12,89.2,7.0,76.9
2024-02-19,Data Platform,9,91.2,64.9,83.8
2024-02-19,Core Billing,12,86.3,10.5,74.0
2024-02-26,Grid Analytics,7,86.1,42.6,83.0
2024-02-26,Customer Experience,3,88.6,21.7,79.5
2024-02-26,Field Operations Tools,7,95.5,54.0,79.5
2024-02-26,Data Platform,5,88.5,68.2,74.1
2024-02-26,Core Billing,10,86.6,11.2,83.5
2024-03-04,Grid Analytics,6,91.1,40.4,98.9
