month,region,revenue_usd,budget_revenue_usd,opex_usd,budget_opex_usd,capex_usd,budget_capex_usd
2024-01-01,North,16095030.58,14949927.43,9547137.82,8810079.89,2095878.09,1946297.67
2024-01-01,South,14669169.84,14849434.78,8708096.81,8854723.75,2422386.78,2636183.3
2024-01-01,East,11898213.43,11224376.95,6781741.27,6347521.4,1303399.68,1516171.28
2024-01-01,West,13407022.22,12621383.8,7354726.69,7717879.27,2140569.77,2459895.52
2024-01-01,Central,12881643.12,12157609.03,6895750.06,7229450.56,1823685.18,2112529.13
2024-02-01,North,11561824.58,11072739.68,6225081.6,6687668.81,2292620.77,1996978.09
2024-02-01,South,9758617.0,9639130.62,6617531.09,6184848.91,1753866.41,1600951.9
2024-02-01,East,9691168.19,9658328.24,6102870.81,6158399.58,1791060.39,1920613.09
2024-02-01,West,11278634.96,11897026.83,7604744.64,7247272.72,2163035.12,2127390.27
2024-02-01,Central,8169826.02,8328188.68,4942207.73,4867338.94,1512093.49,1427995.25
2024-03-01,North,10923705.13,10857814.24,6001514.74,6297411.19,1342141.38,1462659.61
2024-03-01,South,13011668.9,14002788.67,7830866.18,7903666.47,2143945.7,2199026.12
2024-03-01,East,11391925.0,11709942.7,6325721.71,6895304.96,1619305.66,1644071.88
2024-03-01,West,9837124.92,10597542.45,6287406.04,6396290.38,2037069.13,1974878.56
2024-03-01,Central,8392819.37,8276832.88,4832604.9,4612500.46,1396465.39,1526016.64
2024-04-01,North,10081422.69,9462223.62,5738727.54,6062477.74,1238040.64,1364973.47
2024-04-01,South,14064984.98,13190326.42,8676860.33,8239837.61,2524247.83,2378828.67
2024-04-01,East,10402369.03,10776424.42,6200873.49,6184946.63,1640507.09,1570439.72
2024-04-01,West,10103697.88,10158955.99,6408887.69,5952787.18,2065765.08,1936550.54
2024-04-01,Central,12932360.88,13331402.79,7061305.92,7759187.42,2014804.08,1816406.29
2024-05-01,North,13366090.99,13188766.65,7700105.29,7275213.71,2033339.96,2166451.77
2024-05-01,South,8992004.94,9373342.48,5484491.72,5370942.7,1758553.77,1552067.68
2024-05-01,East,10733625.16,10362949.99,6897724.96,6490689.29,1629264.83,1648638.48
2024-05-01,West,13227185.76,13129405.66,7226314.78,7683559.49,1923742.61,1722534.46
2024-05-01,Central,15742354.47,14932264.79,8835579.95,9642117.11,2648417.82,2417765.91
2024-06-01,North,8514000.69,8339600.76,4201559.34,4592104.27,978108.89,1092482.05
2024-06-01,South,9741069.13,9531037.71,6275352.84,5676695.26,1337146.29,1189816.71
2024-06-01,East,12436036.18,12614990.39,6287885.34,6958090.33,2187616.28,2050907.28
2024-06-01,West,12122147.06,11750166.72,6763595.9,6799455.51,2130385.6,1882109.78
2024-06-01,Central,8871300.01,9254867.89,6155742.46,5939819.41,1387508.38,1498833.56
2024-07-01,North,11251318.18,10481087.71,6604240.53,6597777.98,1221990.3,1323987.13
2024-07-01,South,12016345.66,12880654.21,8353553.23,7470746.78,2506834.11,2398957.01
2024-07-01,East,8190226.56,8221791.53,5049815.21,4855196.71,1309831.36,1234695.75
2024-07-01,West,8347203.48,8578802.86,6069607.33,5443533.34,1681314.92,1472058.91
2024-07-01,Central,15179310.05,14263538.48,9634870.53,9155982.47,2013352.99,1973807.28
2024-08-01,North,9549858.26,9897665.37,6482195.62,6358417.87,1811702.13,1729659.58
2024-08-01,South,8821818.7,9255481.52,5476314.79,5877626.53,1230220.35,1122251.64
2024-08-01,East,13886987.06,13746316.71,9055379.58,8837335.1,2186104.23,1978674.4
2024-08-01,West,13227912.35,12739244.76,8263970.82,7695220.33,2028939.56,1919902.24
2024-08-01,Central,7998692.76,8548993.84,5077997.08,5339236.97,1101846.49,1262419.32
2024-09-01,North,13154228.65,12236181.2,7270092.47,7481036.28,2133920.92,2051379.79
2024-09-01,South,13599269.78,13484836.97,7884549.87,8024219.93,1688530.12,1864293.16
2024-09-01,East,11704943.66,12101125.85,6789792.65,7115549.99,1918220.27,2199662.7
2024-09-01,West,9329517.22,9875804.22,5724030.92,5806972.87,1729013.66,1804420.26
2024-09-01,Central,9001955.28,8640643.0,5135628.6,5567131.92,1177862.39,1344301.47
2024-10-01,North,10317582.22,11016856.61,6137167.94,6672893.56,1802512.06,1773661.78
2024-10-01,South,11228240.51,12178471.89,7584897.14,7653486.03,2495789.1,2302918.03
2024-10-01,East,12535769.25,13073906.91,8038186.15,7922181.67,2752123.33,2607177.81
2024-10-01,West,8666092.36,9186512.22,4964612.02,5299624.45,1212288.63,1299639.25
2024-10-01,Central,10816005.75,10098265.78,6716172.34,6344403.74,1501637.37,1503530.72
2024-11-01,North,11344683.27,12316681.54,7243096.34,7338108.44,1776657.72,1611504.29
2024-11-01,South,10540897.27,10659229.69,7332129.44,6781613.31,1729469.8,1654502.54
2024-11-01,East,12540734.57,12160750.43,7091728.96,7053764.59,1848251.35,2046130.19
2024-11-01,West,11017070.49,10787677.08,6986276.76,6277497.8,2091883.82,1928728.24
2024-11-01,Central,10059155.22,10281203.66,6567168.47,5942844.3,1710793.46,1880116.75
2024-12-01,North,13846902.33,14980854.48,9019446.15,8509016.3,3078825.98,2717668.31
2024-12-01,South,8814897.66,9467538.77,6478181.73,5962358.19,1922010.47,1765720.07
2024-12-01,East,12207863.66,12710843.57,6694158.52,7167872.37,1790964.38,1833241.9
2024-12-01,West,10778933.94,10638935.73,6440319.38,6329173.85,2012438.68,1785582.68
2024-12-01,Central,15143268.08,14087436.07,8790583.8,8337368.27,1894189.1,1731926.48
2025-01-01,North,11667029.12,12156739.6,8158334.52,7797820.57,1408503.23,1565174.8
2025-01-01,South,12577272.48,12288745.32,8290646.04,7450937.0,2002241.75,2108779.37
2025-01-01,East,12969865.29,13573617.45,8098630.66,7609294.68,1766111.31,1735909.91
2025-01-01,West,12737923.64,12813650.86,7693617.66,7330730.32,2030902.41,1921145.11
2025-01-01,Central,8758829.71,9055214.53,6487020.04,5883809.21,1257895.74,1436353.4
2025-02-01,North,13472232.74,13819224.21,9234119.1,8609584.97,2056341.24,2043397.45
2025-02-01,South,10358684.31,10438102.08,5344918.25,5842856.06,1602023.62,1855471.97
2025-02-01,East,12164461.55,12975452.93,7710484.47,7165804.32,2159937.62,1913181.69
2025-02-01,West,12826924.72,13183426.39,7881978.23,7931141.28,2139461.12,2164096.66
2025-02-01,Central,13926197.14,13584290.52,8218829.7,8326844.5,1963185.93,1832669.59
2025-03-01,North,13057244.55,14181681.62,7992463.24,8437497.86,2043573.78,2189144.33
2025-03-01,South,13545752.25,12926318.2,8285852.57,8138420.35,2061705.91,2148196.8
2025-03-01,East,9363738.29,9379519.93,5858011.0,5265620.25,1537632.15,1628810.98
2025-03-01,West,10466588.12,10720474.83,6321694.2,6317086.97,1248418.24,1384426.74
2025-03-01,Central,12898562.32,12715122.04,8394761.74,8011306.81,2322421.38,2460307.53
2025-04-01,North,9115118.5,9670009.09,5352629.73,5431594.69,1491112.76,1449190.94
2025-04-01,South,12095551.91,12023642.31,7849592.41,7121649.97,2157873.33,1910960.97
2025-04-01,East,8751419.73,9212643.62,5665675.14,5220681.25,1365620.52,1318391.78
2025-04-01,West,13372882.25,14058655.62,8929538.05,9070422.41,2273311.4,2232074.67
2025-04-01,Central,12994176.71,12571488.32,7411184.55,7428661.35,1803157.66,2003116.69
2025-05-01,North,11063715.56,11957784.59,7148031.23,7528478.75,1541549.58,1645897.7
2025-05-01,South,13455084.31,13465181.38,8268600.2,8167508.37,2501422.96,2448021.29
2025-05-01,East,9941652.4,9875222.37,6364511.96,5967701.73,2121345.03,1967850.27
