date,system,uptime_pct,incidents,mttr_minutes
2024-01-01,Outage Management System,99.662,0,0
2024-01-01,Customer Billing Platform,99.726,0,0
2024-01-01,SCADA,98.76,1,57
2024-01-01,Mobile Workforce App,98.364,1,17
2024-01-01,Customer Portal,99.266,1,125
2024-02-01,Outage Management System,99.691,0,0
2024-02-01,Customer Billing Platform,97.912,1,202
2024-02-01,SCADA,99.092,1,157
2024-02-01,Mobile Workforce App,99.927,0,0
2024-02-01,Customer Portal,99.66,0,0
2024-03-01,Outage Management System,99.629,0,0
2024-03-01,Customer Billing Platform,98.555,2,173
2024-03-01,SCADA,99.69,0,0
2024-03-01,Mobile Workforce App,99.556,0,0
2024-03-01,Customer Portal,99.724,0,0
2024-04-01,Outage Management System,99.83,0,0
2024-04-01,Customer Billing Platform,99.337,1,161
2024-04-01,SCADA,99.566,0,0
2024-04-01,Mobile Workforce App,99.65,0,0
2024-04-01,Customer Portal,99.84,0,0
2024-05-01,Outage Management System,99.705,0,0
2024-05-01,Customer Billing Platform,99.688,0,0
2024-05-01,SCADA,99.811,0,0
2024-05-01,Mobile Workforce App,98.791,1,54
2024-05-01,Customer Portal,99.74,0,0
2024-06-01,Outage Management System,99.654,0,0
2024-06-01,Customer Billing Platform,99.526,0,0
2024-06-01,SCADA,99.505,0,0
2024-06-01,Mobile Workforce App,99.899,0,0
2024-06-01,Customer Portal,98.511,3,136
2024-07-01,Outage Management System,99.741,0,0
2024-07-01,Customer Billing Platform,98.388,1,52
2024-07-01,SCADA,99.515,0,0
2024-07-01,Mobile Workforce App,98.084,1,80
2024-07-01,Customer Portal,99.641,0,0
2024-08-01,Outage Management System,98.631,1,207
2024-08-01,Customer Billing Platform,98.599,1,38
2024-08-01,SCADA,99.631,0,0
2024-08-01,Mobile Workforce App,99.986,0,0
2024-08-01,Customer Portal,99.871,0,0
2024-09-01,Outage Management System,98.383,1,65
2024-09-01,Customer Billing Platform,97.705,3,222
2024-09-01,SCADA,97.995,1,233
2024-09-01,Mobile Workforce App,98.399,3,99
2024-09-01,Customer Portal,97.674,2,231
2024-10-01,Outage Management System,99.051,3,70
2024-10-01,Customer Billing Platform,99.861,0,0
2024-10-01,SCADA,99.222,1,166
2024-10-01,Mobile Workforce App,97.832,1,45
2024-10-01,Customer Portal,99.127,1,216
2024-11-01,Outage Management System,99.672,0,0
2024-11-01,Customer Billing Platform,99.764,0,0
2024-11-01,SCADA,99.845,0,0
2024-11-01,Mobile Workforce App,99.631,0,0
2024-11-01,Customer Portal,99.471,2,183
2024-12-01,Outage Management System,97.771,1,202
2024-12-01,Customer Billing Platform,99.338,1,80
2024-12-01,SCADA,97.754,2,231
2024-12-01,Mobile Workforce App,99.572,0,0
2024-12-01,Customer Portal,99.621,0,0
2025-01-01,Outage Management System,98.285,1,46
2025-01-01,Customer Billing Platform,99.632,0,0
2025-01-01,SCADA,99.721,0,0
2025-01-01,Mobile Workforce App,99.26,1,33
2025-01-01,Customer Portal,99.867,0,0
2025-02-01,Outage Management System,99.255,1,126
2025-02-01,Customer Billing Platform,98.155,3,10
2025-02-01,SCADA,99.194,2,33
2025-02-01,Mobile Workforce App,98.417,1,180
2025-02-01,Customer Portal,99.2,1,213
2025-03-01,Outage Management System,99.607,0,0
2025-03-01,Customer Billing Platform,99.604,0,0
2025-03-01,SCADA,99.906,0,0
2025-03-01,Mobile Workforce App,99.783,0,0
2025-03-01,Customer Portal,99.738,0,0
2025-04-01,Outage Management System,99.834,0,0
2025-04-01,Customer Billing Platform,99.549,0,0
2025-04-01,SCADA,98.419,1,41
2025-04-01,Mobile Workforce App,97.816,2,126
2025-04-01,Customer Portal,99.969,0,0
2025-05-01,Outage Management System,99.837,0,0
2025-05-01,Customer Billing Platform,99.818,0,0
2025-05-01,SCADA,99.957,0,0
2025-05-01,Mobile Workforce App,99.821,0,0
2025-05-01,Customer Portal,99.682,0,0
2025-06-01,Outage Management System,97.831,2,111
2025-06-01,Customer Billing Platform,98.952,1,203
2025-06-01,SCADA,99.821,0,0
2025-06-01,Mobile Workforce App,97.502,1,132
2025-06-01,Customer Portal,99.791,0,0
2025-07-01,Outage Management System,99.718,0,0
2025-07-01,Customer Billing Platform,99.668,0,0
2025-07-01,SCADA,99.922,0,0
2025-07-01,Mobile Workforce App,98.455,1,68
2025-07-01,Customer Portal,99.858,0,0
2025-08-01,Outage Management System,99.654,0,0
2025-08-01,Customer Billing Platform,97.774,2,208
2025-08-01,SCADA,99.249,1,174
2025-08-01,Mobile Workforce App,97.786,3,145
2025-08-01,Customer Portal,99.799,0,0
2025-09-01,Outage Management System,99.672,0,0
2025-09-01,Customer Billing Platform,99.867,0,0
2025-09-01,SCADA,98.732,2,123
2025-09-01,Mobile Workforce App,97.673,2,35
2025-09-01,Customer Portal,99.56,0,0
2025-10-01,Outage Management System,98.203,1,119
2025-10-01,Customer Billing Platform,99.569,0,0
2025-10-01,SCADA,99.541,0,0
2025-10-01,Mobile Workforce App,99.794,0,0
2025-10-01,Customer Portal,99.058,1,186
2025-11-01,Outage Management System,99.915,0,0
2025-11-01,Customer Billing Platform,97.911,2,165
2025-11-01,SCADA,99.866,0,0
2025-11-01,Mobile Workforce App,99.527,0,0
2025-11-01,Customer Portal,99.409,2,136
2025-12-01,Outage Management System,99.618,0,0
2025-12-01,Customer Billing Platform,97.642,1,237
2025-12-01,SCADA,99.474,3,91
2025-12-01,Mobile Workforce App,99.922,0,0
2025-12-01,Customer Portal,99.679,0,0
