outage_id,date,region,duration_minutes,customers_affected,cause
1,2024-01-01,North,394,2273,Equipment failure
2,2024-01-03,Central,59,4857,Vehicle accident
3,2024-01-07,Central,116,5885,Animal contact
4,2024-01-08,West,127,3699,Planned maintenance
5,2024-01-10,South,372,3482,Vegetation
6,2024-01-10,East,94,1783,Vegetation
7,2024-01-19,North,297,2421,Animal contact
8,2024-01-19,Central,468,7079,Vegetation
9,2024-01-20,North,38,5437,Equipment failure
10,2024-01-21,North,452,1927,Weather
11,2024-01-24,South,204,2930,Equipment failure
12,2024-01-25,North,326,5221,Equipment failure
13,2024-01-30,Central,127,5628,Vegetation
14,2024-01-30,North,132,6752,Weather
15,2024-01-31,West,152,562,Equipment failure
16,2024-02-01,Central,463,5901,Vegetation
17,2024-02-01,South,350,4109,Vehicle accident
18,2024-02-02,West,88,2189,Equipment failure
19,2024-02-02,South,396,4618,Planned maintenance
20,2024-02-04,Central,219,2985,Equipment failure
21,2024-02-05,South,275,4062,Weather
22,2024-02-05,North,455,918,Equipment failure
23,2024-02-05,South,420,5594,Vehicle accident
24,2024-02-06,West,210,4901,Vehicle accident
25,2024-02-08,North,363,5924,Weather
26,2024-02-08,Central,399,2205,Animal contact
27,2024-02-08,East,72,2424,Vehicle accident
28,2024-02-11,East,271,6261,Equipment failure
29,2024-02-14,Central,326,1649,Equipment failure
30,2024-02-17,Central,15,4926,Vegetation
31,2024-02-17,West,24,936,Vegetation
32,2024-02-17,East,137,494,Equipment failure
33,2024-02-18,North,58,6015,Vehicle accident
34,2024-02-18,North,404,4383,Equipment failure
35,2024-02-23,West,123,7629,Planned maintenance
36,2024-02-23,South,380,2573,Vehicle accident
37,2024-02-24,East,239,7389,Planned maintenance
38,2024-02-24,West,76,2050,Equipment failure
39,2024-02-24,North,188,192,Planned maintenance
40,2024-02-25,Central,127,78,Weather
41,2024-02-26,North,132,572,Weather
42,2024-02-27,North,278,1969,Vegetation
43,2024-02-27,West,124,4437,Equipment failure
44,2024-02-28,Central,310,3892,Equipment failure
45,2024-02-29,West,112,792,Weather
46,2024-03-01,East,231,3387,Vehicle accident
47,2024-03-02,North,359,5373,Animal contact
48,2024-03-02,North,46,3318,Animal contact
49,2024-03-04,South,113,1578,Planned maintenance
50,2024-03-04,West,86,3476,Equipment failure
51,2024-03-07,West,428,7076,Planned maintenance
52,2024-03-07,North,40,5362,Planned maintenance
53,2024-03-08,North,400,6972,Equipment failure
54,2024-03-15,East,416,6451,Vehicle accident
55,2024-03-15,East,231,5726,Animal contact
56,2024-03-15,Central,353,5905,Vehicle accident
57,2024-03-18,Central,391,4461,Weather
58,2024-03-18,East,44,430,Planned maintenance
59,2024-03-18,West,272,7551,Planned maintenance
60,2024-03-20,North,450,1542,Weather
61,2024-03-20,Central,49,5551,Equipment failure
62,2024-03-20,West,76,7733,Planned maintenance
63,2024-03-22,Central,56,3454,Animal contact
64,2024-03-23,Central,176,7677,Vegetation
65,2024-03-25,South,150,3262,Equipment failure
66,2024-03-26,East,249,2610,Weather
67,2024-03-28,Central,66,620,Planned maintenance
68,2024-03-31,North,465,2021,Vegetation
69,2024-03-31,East,95,3609,Planned maintenance
70,2024-04-01,Central,428,5377,Planned maintenance
71,2024-04-03,East,354,868,Equipment failure
72,2024-04-05,Central,94,2251,Vegetation
73,2024-04-05,Central,122,5898,Vegetation
74,2024-04-07,East,273,4022,Vegetation
75,2024-04-08,North,62,5216,Vehicle accident
76,2024-04-08,East,37,49,Vegetation
77,2024-04-09,East,97,6092,Vehicle accident
78,2024-04-10,West,302,99,Weather
79,2024-04-12,South,294,315,Vegetation
80,2024-04-12,Central,297,1233,Vehicle accident
81,2024-04-15,North,475,2951,Equipment failure
82,2024-04-15,South,356,862,Vegetation
83,2024-04-16,West,332,6159,Equipment failure
84,2024-04-17,South,457,1351,Equipment failure
85,2024-04-17,West,27,1489,Animal contact
86,2024-04-18,West,425,5507,Animal contact
87,2024-04-18,South,151,1324,Animal contact
88,2024-04-20,West,128,1654,Vehicle accident
89,2024-04-20,East,171,6741,Equipment failure
90,2024-04-22,West,183,2302,Weather
91,2024-04-23,East,194,5275,Planned maintenance
92,2024-04-23,West,362,6931,Planned maintenance
93,2024-04-23,East,29,964,Vegetation
94,2024-04-25,East,34,908,Planned maintenance
95,2024-04-25,West,191,5988,Vegetation
96,2024-04-25,West,325,4209,Weather
97,2024-04-27,East,37,5826,Vehicle accident
98,2024-04-29,Central,366,5913,Animal contact
99,2024-04-29,South,201,3553,Weather
100,2024-04-30,East,334,2591,Animal contact
101,2024-04-30,North,383,7393,Vegetation
102,2024-05-02,East,221,5731,Vegetation
103,2024-05-03,South,230,5467,Vehicle accident
104,2024-05-04,South,330,4682,Vegetation
105,2024-05-06,East,161,1741,Vehicle accident
106,2024-05-07,Central,350,2659,Vehicle accident
107,2024-05-09,Central,257,6522,Animal contact
108,2024-05-13,East,62,6724,Equipment failure
109,2024-05-14,South,427,1651,Equipment failure
110,2024-05-18,North,248,3415,Animal contact
111,2024-05-19,West,268,3293,Equipment failure
112,2024-05-21,North,413,3502,Equipment failure
113,2024-05-23,Central,252,431,Planned maintenance
114,2024-05-23,South,449,1014,Vehicle accident
115,2024-05-23,South,425,3826,Animal contact
116,2024-05-25,East,401,7322,Vehicle accident
117,2024-05-26,Central,233,6824,Planned maintenance
118,2024-05-29,West,147,6178,Equipment failure
119,2024-05-29,East,407,6390,Planned maintenance
120,2024-06-02,South,154,2771,Vegetation
121,2024-06-03,North,85,1255,Equipment failure
122,2024-06-03,West,370,1271,Animal contact
123,2024-06-09,West,478,6326,Planned maintenance
124,2024-06-10,North,453,7234,Planned maintenance
125,2024-06-10,West,259,68,Vegetation
126,2024-06-13,West,290,6143,Animal contact
127,2024-06-13,Central,424,4961,Equipment failure
128,2024-06-18,West,385,1372,Vehicle accident
129,2024-06-19,Central,288,240,Vehicle accident
130,2024-06-19,Central,303,5451,Weather
131,2024-06-22,South,40,2151,Vehicle accident
132,2024-06-22,East,123,3744,Vegetation
133,2024-06-24,East,400,7812,Vehicle accident
134,2024-06-24,East,442,690,Vehicle accident
135,2024-06-27,East,129,5345,Weather
136,2024-06-27,North,401,274,Equipment failure
137,2024-06-27,South,444,186,Planned maintenance
138,2024-06-30,Central,126,3829,Animal contact
139,2024-07-03,North,413,6731,Equipment failure
140,2024-07-04,North,311,230,Vegetation
141,2024-07-04,Central,361,7458,Vehicle accident
142,2024-07-04,West,381,1644,Weather
