month,recordable_incidents,near_misses,lost_time_incidents
2024-01-01,4,12,0
2024-02-01,0,14,0
2024-03-01,2,4,2
2024-04-01,4,2,2
2024-05-01,3,14,1
2024-06-01,3,3,0
2024-07-01,0,6,0
2024-08-01,4,13,2
2024-09-01,4,11,2
2024-10-01,4,5,1
2024-11-01,2,8,1
2024-12-01,4,13,2
2025-01-01,1,7,0
2025-02-01,3,3,1
2025-03-01,3,3,0
2025-04-01,1,7,1
2025-05-01,2,9,0
2025-06-01,4,9,1
2025-07-01,3,3,1
2025-08-01,3,7,0
2025-09-01,2,2,2
2025-10-01,0,2,1
2025-11-01,0,12,0
2025-12-01,1,10,0
